titulo,genero,diretor,classificacao,ano,avaliacao,pais_origem
Filme 20,Fantasia,Guillermo del Toro,16,2006,8.2,Argentina
Filme 1974,Crime,Frank Capra,18,1933,9.0,China
Filme 669,Sátira,Daniel Filho,18,2009,4.2,Austrália
Filme 219,Faroeste,Sergio Leone,14,1966,8.8,Noruega
Filme 3556,Épico,Selton Mello,12,1992,7.6,Suécia
Filme 2096,Sátira,José Alvarenga Jr.,18,1957,8.1,Suécia
Filme 3890,Épico,Daniel Ribeiro,0,1922,5.7,Espanha
Filme 4064,Fantasia,Galder Gaztelu-Urrutia,4,1971,8.6,França
Filme 4714,Histórico,Mike Nichols,4,1994,8.0,China
Filme 3661,Animação,Pedro Amorim,10,2016,8.3,Brasil
Filme 778,Romance,Taika Waititi,14,1974,5.6,Nova Zelândia
Filme 4804,Ação,Chris Weitz,16,2020,9.7,França
Filme 1019,Ficção Científica,Hayao Miyazaki,10,1952,5.7,Noruega
Filme 2278,Drama,Peter Weir,16,1986,4.7,Nova Zelândia
Filme 2665,Comédia,James Mangold,4,1956,5.3,Alemanha
Filme 3429,Romance,Chloé Zhao,16,1984,9.6,Austrália
Filme 1408,Fantasia,F.W. Murnau,10,2015,9.5,Canadá
Filme 518,Musical,Spike Lee,18,2013,6.8,Nova Zelândia
Filme 1596,Romance,Lana Wachowski,12,2003,6.6,Suécia
Filme 2520,Guerra,Jonathan Demme,10,2025,8.7,Argentina
Filme 2274,Guerra,Peter Weir,14,1959,8.1,China
Filme 3451,Ação,Rian Johnson,4,1984,9.4,Coreia do Sul
Filme 4873,Animação,Mike Newell,0,2006,6.1,Índia
Filme 1695,Drama,Jean-Pierre Jeunet,0,1987,5.8,Irlanda
Filme 4650,Biografia,Gerard Johnstone,4,2018,5.1,Espanha
Filme 4833,Romance,Richard Marquand,4,2000,7.1,Índia
Filme 4032,Romance,Luc Besson,10,1996,7.5,México
Filme 1053,Ficção Científica,Sergio Leone,4,2022,7.9,Índia
Filme 2481,Terror,Christopher McQuarrie,10,1967,4.8,Brasil
Filme 760,Guerra,Jordan Peele,10,1982,6.5,Argentina
Filme 3149,Épico,Éric Lartigau,18,1941,5.9,Austrália
Filme 3519,Drama,Daniel Rezende,4,1987,6.2,Noruega
Filme 215,Comédia,Charlie Chaplin,0,1931,8.5,Irlanda
Filme 1477,Comédia,Joel Coen,4,1941,7.5,Dinamarca
Filme 2498,Musical,Christopher McQuarrie,18,1982,5.3,Nova Zelândia
Filme 2837,Musical,Noah Baumbach,0,1926,9.1,Dinamarca
Filme 2500,Crime,Christopher McQuarrie,4,2001,5.8,Argentina
Filme 2306,Faroeste,Cao Hamburger,4,1992,7.7,Itália
Filme 1703,Ficção Científica,Jean-Pierre Jeunet,0,1931,7.7,Reino Unido
Filme 197,Ação,Louis Leterrier,14,2023,5.8,Dinamarca
Filme 4002,Aventura,George Miller,10,2016,4.2,Estados Unidos
Filme 4055,Faroeste,Park Chan-wook,14,1922,7.7,Irlanda
Filme 5395,Romance,Michael Jelenic,14,1970,4.7,Irlanda
Filme 1057,Ficção Científica,David Yates,14,1986,9.2,Dinamarca
Filme 1790,Terror,William Friedkin,14,1969,7.8,Espanha
Filme 888,Biografia,Christopher Nolan,12,1970,5.5,Canadá
Filme 2918,Ação,Andy Muschietti,0,1950,9.7,Nova Zelândia
Filme 3537,Crime,Selton Mello,10,1995,5.1,Dinamarca
Filme 2933,Comédia,Andy Muschietti,16,1920,8.3,Índia
Filme 569,Guerra,Vinicius Amorim,4,1994,5.9,Austrália
Filme 3566,Faroeste,José Henrique Fonseca,14,2000,5.6,Itália
Filme 3025,Romance,Mel Gibson,18,1920,5.8,Alemanha
Filme 2790,Ação,Andrew Niccol,12,2016,7.0,Espanha
Filme 140,Ação,Francis Lawrence,14,2013,7.5,Argentina
Filme 2218,Fantasia,Afonso Poyart,16,1997,8.1,Nova Zelândia
Filme 1783,Aventura,William Friedkin,14,1959,4.7,Reino Unido
Filme 1150,Aventura,Francis Ford Coppola,0,2018,4.5,Espanha
Filme 1993,Biografia,Stanley Donen,4,1957,8.8,Índia
Filme 2084,Fantasia,José Alvarenga Jr.,4,1956,8.0,França
Filme 3716,Romance,Toninho Moura,4,2008,7.1,Suécia
Filme 464,Comédia,Denis Villeneuve,18,2008,9.4,França
Filme 4787,Guerra,Chris Weitz,16,1972,6.8,Japão
Filme 2578,Documentário,Paul King,14,1981,7.1,Nova Zelândia
Filme 4533,Biografia,Florian Zeller,12,1968,8.1,Índia
Filme 595,Biografia,Joseph Kosinski,14,1931,5.5,Irlanda
Filme 5133,Épico,Anthony Russo,4,2017,7.4,Índia
Filme 451,Terror,Miyazaki Hayao,18,1981,6.8,Coreia do Sul
Filme 2243,Épico,Ari Aster,14,1995,5.4,Reino Unido
Filme 3605,Comédia,Carlos Diegues,14,1996,9.2,Alemanha
Filme 3490,Guerra,Fernando Coimbra,16,1987,7.9,Espanha
Filme 2102,Suspense,José Alvarenga Jr.,16,1974,7.8,Estados Unidos
Filme 4766,Documentário,Joseph Kosinski,16,1940,9.8,Itália
Filme 2648,Fantasia,James Mangold,12,1975,9.3,Canadá
Filme 1667,Aventura,Alejandro González Iñárritu,4,1956,9.1,Japão
Filme 1175,Biografia,Peter Jackson,14,2003,7.0,Irlanda
Filme 3039,Faroeste,Tom Hooper,18,1942,5.4,Noruega
Filme 452,Drama,Wes Anderson,14,1963,7.0,México
Filme 4580,Animação,Adam McKay,4,1980,8.8,Argentina
Filme 3529,Faroeste,Daniel Rezende,16,1958,5.9,Austrália
Filme 3456,Musical,Rian Johnson,10,1965,5.4,Suécia
Filme 3822,Animação,Caito Ortiz,18,1969,5.4,Estados Unidos
Filme 2379,Terror,Michael Chaves,14,1946,5.0,Noruega
Filme 1264,Histórico,Blake Edwards,18,2010,5.6,França
Filme 5091,Crime,Scott Hicks,16,1988,9.6,Coreia do Sul
Filme 1000,Fantasia,Alfred Hitchcock,14,2013,5.9,Argentina
Filme 4582,Ficção Científica,Adam McKay,16,1958,9.2,Estados Unidos
Filme 4733,Romance,Mike Nichols,16,1994,8.8,Índia
Filme 3976,Épico,Nicolas Winding Refn,18,1992,8.6,Suécia
Filme 193,Ação,Chad Stahelski,18,2023,7.7,Índia
Filme 4260,Comédia,Heitor Dhalia,4,2003,6.7,Argentina
Filme 4902,Animação,Todd Phillips,18,1979,9.5,Estados Unidos
Filme 4547,Histórico,Jerry Zucker,12,1946,8.5,Japão
Filme 4598,Documentário,Baz Luhrmann,12,1968,8.3,Nova Zelândia
Filme 5331,Musical,Chad Stahelski,4,1926,7.8,Coreia do Sul
Filme 4817,Aventura,Rob Cohen,18,1926,7.6,Dinamarca
Filme 1339,Aventura,Vittorio De Sica,14,1981,7.8,Noruega
Filme 4896,Comédia,Todd Phillips,12,1976,9.0,Suécia
Filme 3649,Ficção Científica,Delbert Mann,18,1983,6.7,Austrália
Filme 4336,Faroeste,George P. Cosmatos,14,1934,8.4,Suécia
Filme 4771,Fantasia,Joseph Kosinski,14,1920,9.9,Coreia do Sul
Filme 1294,Drama,Bill Condon,12,1973,4.2,China
Filme 4100,Romance,Juan José Campanella,18,1951,8.9,Argentina
Filme 4560,Animação,Jerry Zucker,16,1927,7.6,Argentina
Filme 5266,Guerra,Carlos Diegues,4,1940,6.2,Itália
Filme 3138,Histórico,Éric Lartigau,12,1982,7.6,Nova Zelândia
Filme 5245,Suspense,Roger Allers,18,1949,6.4,Alemanha
Filme 369,Comédia,Denis Villeneuve,16,1983,5.7,Austrália
Filme 1152,Terror,Francis Ford Coppola,10,1961,7.6,México
Filme 2125,Animação,André Pellenz,0,1961,9.5,Alemanha
Filme 1870,Terror,Roberto Rossellini,4,1984,7.2,Espanha
Filme 4951,Crime,Catherine Hardwicke,0,1990,4.5,Coreia do Sul
Filme 5347,Biografia,Eric Bress,12,1920,4.5,Japão
Filme 192,Terror,Matt Bettinelli-Olpin,16,2023,6.5,México
Filme 2023,Aventura,Halder Gomes,14,1998,7.3,Reino Unido
Filme 109,Comédia,Cláudio Torres,14,2009,6.2,Austrália
Filme 4163,Ficção Científica,José Padilha,18,1940,5.5,Reino Unido
Filme 3427,Romance,Chloé Zhao,18,1926,6.1,Japão
Filme 3200,Fantasia,Quentin Tarantino,16,1942,6.0,Argentina
Filme 1361,Faroeste,Fritz Lang,18,2020,4.8,Brasil
Filme 1627,Comédia,Chad Stahelski,16,2021,8.0,Japão
Filme 4744,Sátira,Anthony Minghella,14,1950,8.9,França
Filme 5291,Faroeste,Julius Avery,14,1934,5.5,Coreia do Sul
Filme 3034,Guerra,Tom Hooper,0,1971,5.0,China
Filme 2365,Aventura,Michael Chaves,18,1989,9.4,Alemanha
Filme 1621,Biografia,Jim Jarmusch,10,1940,8.6,Brasil
Filme 5155,Musical,Michael Hoffman,16,1994,5.0,Irlanda
Filme 477,Musical,Barry Jenkins,12,1976,8.0,Dinamarca
Filme 1484,Guerra,Joel Coen,14,1949,4.8,França
Filme 4026,Romance,Luc Besson,16,1958,8.5,Itália
Filme 313,Biografia,James Marsh,12,2014,7.7,Índia
Filme 509,Musical,Jordan Peele,12,2010,7.3,Austrália
Filme 167,Drama,David O. Russell,14,2012,7.7,Japão
Filme 2313,Faroeste,Carol Reed,4,2004,4.9,Índia
Filme 4399,Suspense,Clint Eastwood,0,1963,5.5,Noruega
Filme 2338,Sátira,Julius Avery,0,2018,6.4,Nova Zelândia
Filme 1025,Faroeste,Hayao Miyazaki,14,2011,9.7,Alemanha
Filme 1222,Biografia,Brian De Palma,0,2023,8.0,Estados Unidos
Filme 2606,Biografia,Irvin Kershner,0,1999,8.6,Itália
Filme 1821,Guerra,Charlie Kaufman,16,2016,4.9,Brasil
Filme 4899,Guerra,Todd Phillips,16,2021,8.1,Noruega
Filme 4386,Sátira,Clint Eastwood,4,1975,8.4,Itália
Filme 3280,Comédia,Bob Persichetti,18,1956,4.7,Argentina
Filme 1833,Ação,Ryan Coogler,12,1999,6.1,Índia
Filme 3091,Biografia,Sarah Gavron,0,1968,7.5,Coreia do Sul
Filme 4304,Crime,John McTiernan,10,1964,5.9,França
Filme 5353,Crime,Roger Allers,10,1922,6.3,Índia
Filme 4862,Comédia,Mike Newell,16,1962,6.4,Estados Unidos
Filme 3650,Faroeste,Delbert Mann,12,1958,8.6,Espanha
Filme 4005,Comédia,George Miller,18,1934,6.9,Alemanha
Filme 4983,Aventura,Joe Wright,4,1986,5.5,Reino Unido
Filme 153,Romance,Lasse Hallström,16,2010,6.3,Índia
Filme 2154,Suspense,Jorge Furtado,14,1969,6.3,China
Filme 2991,Épico,Edward Zwick,10,2010,5.4,Coreia do Sul
Filme 5099,Aventura,Richard Curtis,10,1980,7.1,Noruega
Filme 4512,Romance,Christopher Nolan,0,1972,6.2,México
Filme 2026,Musical,Halder Gomes,0,1981,6.1,Itália
Filme 5290,Terror,Noah Baumbach,16,1933,9.4,Espanha
Filme 4490,Épico,Tom McCarthy,12,1985,8.2,Espanha
Filme 3383,Biografia,Robert Wiene,14,1991,4.8,Reino Unido
Filme 1486,Aventura,Joel Coen,18,1966,8.0,Itália
Filme 5240,Biografia,Milos Forman,18,1949,5.2,Argentina
Filme 4518,Drama,Christopher Nolan,16,1970,5.6,Nova Zelândia
Filme 2518,Aventura,Jonathan Demme,18,1947,8.4,Nova Zelândia
Filme 32,Drama,Damien Chazelle,16,2014,8.5,México
Filme 1226,Terror,Kleber Mendonça Filho,12,1963,6.4,Itália
Filme 938,Musical,Roman Polanski,12,1967,7.0,Nova Zelândia
Filme 2603,Fantasia,Irvin Kershner,0,1999,5.5,Reino Unido
Filme 753,Documentário,Barry Jenkins,12,1976,5.2,Índia
Filme 1539,Ficção Científica,Robert Eggers,4,1962,6.1,Noruega
Filme 310,Drama,Michael Cimino,16,1978,8.1,Espanha
Filme 2900,Comédia,Fernando Meirelles,12,1926,5.2,Argentina
Filme 2689,Aventura,Matt Ross,18,1920,9.8,Austrália
Filme 3687,Animação,Ivan Reitman,4,1948,9.1,Japão
Filme 4391,Romance,Clint Eastwood,0,1920,9.5,Coreia do Sul
Filme 4355,Animação,M. Night Shyamalan,16,2019,4.9,Irlanda
Filme 496,Documentário,Pedro Almodóvar,12,1965,5.9,Suécia
Filme 1406,Crime,F.W. Murnau,12,1990,6.9,Itália
Filme 3594,Épico,Carlos Diegues,10,1926,5.6,China
Filme 206,Drama,Martin Scorsese,16,2023,7.7,Itália
Filme 1435,Animação,Damien Chazelle,16,1992,6.6,Irlanda
Filme 1136,Histórico,Federico Fellini,16,2018,5.3,Suécia
Filme 3154,Animação,João Batista de Andrade,18,2009,7.9,China
Filme 4963,Documentário,David Slade,10,1934,9.4,Reino Unido
Filme 702,Épico,Luc Besson,18,1953,5.4,Estados Unidos
Filme 306,Comédia,Éric Lartigau,14,2014,7.3,Itália
Filme 2324,Faroeste,Carol Reed,0,1968,7.9,França
Filme 1193,Sátira,James Cameron,10,1975,5.2,Índia
Filme 4293,Fantasia,Sylvester Stallone,18,1952,5.5,Índia
Filme 2285,Crime,Peter Weir,16,2025,7.7,Alemanha
Filme 1062,Animação,David Yates,0,1958,9.9,Estados Unidos
Filme 844,Aventura,Miyazaki Hayao,0,1957,7.0,França
Filme 4498,Faroeste,Christopher Nolan,18,1985,8.4,Nova Zelândia
Filme 4280,Aventura,Sylvester Stallone,16,1993,5.9,Argentina
Filme 212,Drama,Michael Curtiz,18,1942,8.5,México
Filme 1341,Musical,Vittorio De Sica,16,2021,4.5,Brasil
Filme 1109,Ficção Científica,Roberto Santucci,0,1979,7.7,Austrália
Filme 4431,Fantasia,David O. Russell,10,1965,7.9,Coreia do Sul
Filme 680,Sátira,Robert Eggers,18,1993,6.9,Argentina
Filme 2255,Suspense,Ari Aster,18,2020,8.0,Irlanda
Filme 3459,Suspense,Rian Johnson,12,2009,9.9,Noruega
Filme 566,Histórico,Fernando Coimbra,12,1999,7.3,Itália
Filme 1533,Animação,Robert Eggers,18,2004,9.5,Índia
Filme 4169,Crime,José Padilha,4,1940,7.1,Austrália
Filme 681,Sátira,Andrew Niccol,10,2025,8.6,Brasil
Filme 181,Ação,Ryan Coogler,14,2022,6.7,Brasil
Filme 4458,Ação,Paul Greengrass,0,2010,4.2,Nova Zelândia
Filme 1658,Aventura,Alejandro González Iñárritu,4,1951,8.3,Nova Zelândia
Filme 2742,Guerra,Sidney Pollack,10,1978,7.6,Estados Unidos
Filme 4645,Faroeste,Gerard Johnstone,0,1958,4.2,Alemanha
Filme 279,Suspense,Fritz Lang,14,1931,8.2,Noruega
Filme 4931,Épico,Catherine Hardwicke,0,1983,7.1,Coreia do Sul
Filme 3246,Comédia,Ingmar Bergman,10,1979,9.3,Itália
Filme 1205,Drama,Brian De Palma,0,2023,8.7,Alemanha
Filme 1748,Biografia,Orson Welles,4,1933,7.4,Canadá
Filme 433,Documentário,Barry Jenkins,18,2003,9.6,Índia
Filme 290,Animação,Bob Persichetti,10,2018,8.4,Espanha
Filme 1028,Aventura,Hayao Miyazaki,4,1990,8.3,Canadá
Filme 536,Terror,Alfonso Cuarón,0,1982,7.4,Suécia
Filme 4061,Crime,Park Chan-wook,10,1931,5.7,Brasil
Filme 1188,Terror,James Cameron,4,1950,9.7,Canadá
Filme 189,Suspense,Mark Mylod,16,2022,7.2,Austrália
Filme 5346,Musical,Michael Hoffman,4,1920,8.4,Itália
Filme 5284,Fantasia,Quentin Tarantino,0,1936,6.2,França
Filme 2878,Ação,James Gray,0,1996,6.7,Nova Zelândia
Filme 3629,Documentário,Daniel Filho,16,2012,8.5,Austrália
Filme 707,Épico,David O. Russell,16,1963,5.1,Japão
Filme 4579,Guerra,Adam McKay,10,1982,4.5,Noruega
Filme 271,Drama,Federico Fellini,14,1973,7.9,Coreia do Sul
Filme 2857,Musical,Olivia Wilde,12,1962,9.0,Dinamarca
Filme 4447,Faroeste,David O. Russell,14,1997,5.9,Japão
Filme 2811,Sátira,Michel Gondry,10,2013,6.2,Coreia do Sul
Filme 4230,Épico,Anselmo Duarte,0,1954,6.2,Espanha
Filme 112,Ação,Sylvester Stallone,16,2010,6.4,México
Filme 1171,Animação,Peter Jackson,14,2008,8.0,Coreia do Sul
Filme 1392,Histórico,Chris Columbus,12,1953,7.9,México
Filme 2315,Documentário,Carol Reed,14,2016,7.2,Irlanda
Filme 221,Ação,Quentin Tarantino,18,2003,8.1,Brasil
Filme 1534,Suspense,Robert Eggers,0,1959,8.1,China
Filme 628,Aventura,Ingmar Bergman,14,2014,6.4,Canadá
Filme 1836,Biografia,Ryan Coogler,12,1963,6.5,Suécia
Filme 2690,Histórico,Matt Ross,18,1927,8.1,Espanha
Filme 3974,Fantasia,Nicolas Winding Refn,16,1983,6.9,China
Filme 3478,Sátira,Ruben Östlund,16,2012,6.3,Nova Zelândia
Filme 791,Fantasia,Patty Jenkins,10,1974,7.6,Coreia do Sul
Filme 2370,Animação,Michael Chaves,14,2018,7.1,Espanha
Filme 462,Ficção Científica,Greta Gerwig,18,2020,9.3,Estados Unidos
Filme 4791,Suspense,Chris Weitz,18,2008,5.3,Coreia do Sul
Filme 552,Documentário,M. Night Shyamalan,12,1956,4.2,México
Filme 4362,Sátira,M. Night Shyamalan,18,1946,8.5,Estados Unidos
Filme 2374,Crime,Michael Chaves,14,1951,5.2,China
Filme 1893,Guerra,David Fincher,18,1958,6.9,Índia
Filme 199,Terror,Michael Chaves,16,2023,5.6,Noruega
Filme 3827,Faroeste,Mark Dindal,10,1987,9.5,Japão
Filme 2299,Suspense,Cao Hamburger,16,1974,5.5,Noruega
Filme 403,Ação,Jordan Peele,18,1978,8.6,Reino Unido
Filme 3617,Musical,Daniel Filho,12,1940,5.5,Dinamarca
Filme 2522,Crime,Jonathan Demme,16,1970,9.6,Estados Unidos
Filme 5180,Ficção Científica,Hayao Miyazaki,4,2008,9.9,Argentina
Filme 2981,Aventura,Guy Ritchie,10,1994,9.5,Brasil
Filme 4613,Ficção Científica,Baz Luhrmann,4,1973,9.8,Índia
Filme 4857,Crime,Mike Newell,16,2018,7.3,Dinamarca
Filme 651,Crime,Sylvester Stallone,4,1982,5.4,Coreia do Sul
Filme 4360,Ação,M. Night Shyamalan,14,1997,9.6,Argentina
Filme 709,Épico,Milos Forman,4,2011,4.8,Austrália
Filme 2232,Histórico,Martin McDonagh,0,1968,9.6,México
Filme 4811,Épico,Rob Cohen,12,1993,9.7,Coreia do Sul
Filme 4704,Ação,Mark Mylod,0,2020,8.7,França
Filme 2178,Terror,Stanley Kubrick,14,2015,5.8,Nova Zelândia
Filme 1425,Fantasia,Damien Chazelle,4,1980,5.9,Alemanha
Filme 1217,Fantasia,Brian De Palma,10,2015,7.2,Dinamarca
Filme 2474,Drama,Louis Leterrier,18,2003,8.4,China
Filme 4184,Histórico,Anna Muylaert,4,1976,7.5,França
Filme 315,Ação,Mel Gibson,18,1995,8.3,Irlanda
Filme 2417,Ficção Científica,Michael Curtiz,12,1958,6.0,Dinamarca
Filme 1428,Faroeste,Damien Chazelle,14,2009,9.6,Canadá
Filme 3516,Comédia,Daniel Rezende,12,2010,9.5,Suécia
Filme 4869,Ação,Mike Newell,12,1984,5.4,Austrália
Filme 114,Ação,George P. Cosmatos,18,1985,6.5,China
Filme 961,Drama,David Lean,10,2006,9.4,Brasil
Filme 3440,Guerra,Rian Johnson,18,1947,7.1,Argentina
Filme 3251,Sátira,Alex Garland,14,1997,9.0,Coreia do Sul
Filme 1115,Aventura,Roberto Santucci,18,2000,7.8,Irlanda
Filme 4114,Ficção Científica,Beto Brant,14,1966,8.5,China
Filme 5439,Suspense,Bob Persichetti,10,2008,4.5,Noruega
Filme 2104,Drama,José Alvarenga Jr.,14,2017,5.1,França
Filme 3781,Animação,Cláudio Torres,18,1995,7.1,Brasil
Filme 3408,Sátira,Michael Jelenic,0,1978,8.5,Canadá
Filme 4044,Terror,Park Chan-wook,10,1951,5.1,França
Filme 4927,Biografia,Gary Ross,0,1997,6.1,Japão
Filme 3102,Romance,Sarah Gavron,4,1975,6.2,Estados Unidos
Filme 2264,Terror,Ari Aster,16,1946,9.5,França
Filme 2329,Biografia,Carol Reed,0,1963,5.9,Austrália
Filme 1739,Animação,Orson Welles,12,1995,5.8,Noruega
Filme 327,Guerra,Christopher Nolan,12,2017,7.9,Japão
Filme 605,Faroeste,Michael Curtiz,14,1922,9.5,Alemanha
Filme 4557,Animação,Jerry Zucker,4,1934,7.2,Dinamarca
Filme 3572,Drama,José Henrique Fonseca,4,1985,6.6,México
Filme 4656,Histórico,Gerard Johnstone,0,1992,6.1,Suécia
Filme 3046,Faroeste,Tom Hooper,12,2004,9.4,Itália
Filme 4713,Ficção Científica,Mike Nichols,14,1981,5.3,Índia
Filme 3704,Drama,Toninho Moura,10,1990,7.9,França
Filme 2652,Aventura,James Mangold,16,1950,7.7,México
Filme 1289,Faroeste,Milos Forman,16,1983,5.0,Austrália
Filme 1814,Documentário,Charlie Kaufman,16,2022,9.1,China
Filme 3943,Documentário,Damián Szifron,0,1963,9.6,Reino Unido
Filme 1868,Épico,Roberto Rossellini,16,2007,8.0,Canadá
Filme 2237,Ação,Martin McDonagh,14,1998,4.5,Dinamarca
Filme 3934,Documentário,Damián Szifron,4,1947,7.9,China
Filme 1965,Terror,Bong Joon-ho,0,1979,5.5,Alemanha
Filme 5179,Terror,William Wyler,4,2014,8.5,Noruega
Filme 2562,Drama,Cecil B. DeMille,16,2014,8.7,Estados Unidos
Filme 790,Documentário,Patty Jenkins,12,2000,6.4,Espanha
Filme 3327,Crime,Matt Bettinelli-Olpin,12,1978,7.3,Japão
Filme 5228,Romance,Robert Zemeckis,18,1953,7.6,Canadá
Filme 3128,Fantasia,Éric Lartigau,10,1998,6.7,Canadá
Filme 322,Terror,Andy Muschietti,16,2017,7.3,Estados Unidos
Filme 872,Documentário,Denis Villeneuve,14,1990,5.2,México
Filme 170,Drama,Barry Jenkins,16,2016,7.4,Espanha
Filme 4583,Faroeste,Adam McKay,10,1964,8.7,Reino Unido
Filme 4919,Documentário,Gary Ross,18,1990,9.8,Noruega
Filme 1808,Guerra,Charlie Kaufman,10,1948,6.5,Canadá
Filme 3729,Aventura,Vinicius Amorim,4,2001,5.1,Austrália
Filme 4947,Documentário,Catherine Hardwicke,12,1956,5.7,Japão
Filme 74,Drama,Paulo Morelli,16,2007,7.3,China
Filme 421,Documentário,Spike Lee,0,2014,8.1,Brasil
Filme 3898,Sátira,Paulo Morelli,16,1922,8.8,Nova Zelândia
Filme 1838,Animação,Ryan Coogler,18,1991,9.5,Nova Zelândia
Filme 3564,Animação,José Henrique Fonseca,0,1934,8.1,França
Filme 93,Comédia,Guel Arraes,18,2001,5.7,Índia
Filme 5177,Épico,Charlie Kaufman,4,1971,5.5,Dinamarca
Filme 4729,Guerra,Mike Nichols,18,1957,5.6,Austrália
Filme 2657,Romance,James Mangold,12,1962,6.9,Dinamarca
Filme 3411,Épico,Michael Jelenic,16,1970,8.0,Coreia do Sul
Filme 2219,Épico,Afonso Poyart,10,1963,6.3,Noruega
Filme 2210,Drama,Afonso Poyart,12,2025,5.6,Espanha
Filme 495,Drama,Jane Campion,16,1976,7.5,Irlanda
Filme 1376,Faroeste,Fritz Lang,4,1977,5.2,Suécia
Filme 3705,Fantasia,Toninho Moura,10,1959,8.7,Alemanha
Filme 2901,Ação,Fernando Meirelles,10,1977,6.5,Brasil
Filme 1727,Musical,Sam Mendes,18,1987,7.2,Japão
Filme 1165,Comédia,Peter Jackson,18,2006,7.9,Alemanha
Filme 3517,Drama,Daniel Rezende,14,1926,8.3,Dinamarca
Filme 1271,Fantasia,Milos Forman,14,1959,8.8,Coreia do Sul
Filme 2585,Drama,Paul King,10,1989,9.1,Alemanha
Filme 2054,Aventura,Lasse Hallström,16,1965,6.8,China
Filme 2575,Suspense,Cecil B. DeMille,16,1922,8.4,Irlanda
Filme 5281,Suspense,Daniel Filho,0,1936,4.9,Brasil
Filme 619,Faroeste,Ruben Östlund,16,1990,8.8,Noruega
Filme 4666,Documentário,Todd Field,12,1926,8.5,Itália
Filme 4076,Biografia,Galder Gaztelu-Urrutia,4,1926,8.0,Suécia
Filme 125,Ficção Científica,George Lucas,10,2002,6.5,Alemanha
Filme 1731,Faroeste,Sam Mendes,18,1950,9.1,Coreia do Sul
Filme 2875,Comédia,James Gray,12,1942,5.3,Irlanda
Filme 2128,Ação,Steven Spilberg,16,1980,8.4,Canadá
Filme 5289,Aventura,Pedro Almodóvar,10,1939,6.4,Austrália
Filme 3908,Documentário,Paulo Morelli,14,1976,7.2,Canadá
Filme 1891,Romance,David Fincher,4,1959,7.5,Coreia do Sul
Filme 2446,Comédia,Rob Marshall,10,1987,5.6,Itália
Filme 4039,Crime,Luc Besson,10,1988,9.4,Noruega
Filme 870,Animação,Denis Villeneuve,16,1920,9.3,Espanha
Filme 3211,Ficção Científica,Quentin Tarantino,18,1986,8.4,Coreia do Sul
Filme 1043,Crime,Sergio Leone,12,1949,8.4,Reino Unido
Filme 1861,Ficção Científica,Roberto Rossellini,12,1989,8.7,Brasil
Filme 3505,Suspense,Fernando Coimbra,0,2002,8.6,Alemanha
Filme 357,Drama,Taika Waititi,16,1990,9.0,Dinamarca
Filme 1163,Animação,Peter Jackson,0,2010,8.7,Reino Unido
Filme 3754,Faroeste,Marcus Baldini,14,2017,4.8,China
Filme 3269,Terror,Alex Garland,16,2018,6.5,Austrália
Filme 5338,Romance,Daniel Ribeiro,0,1922,6.2,Nova Zelândia
Filme 1730,Romance,Sam Mendes,18,1934,7.3,Espanha
Filme 2088,Sátira,José Alvarenga Jr.,18,1989,5.3,Canadá
Filme 5036,Aventura,Thea Sharrock,18,1953,8.2,Suécia
Filme 3425,Animação,Chloé Zhao,0,2018,9.8,Alemanha
Filme 580,Guerra,Christopher Nolan,18,1962,8.7,Argentina
Filme 4696,Sátira,Mark Mylod,0,1992,6.3,Suécia
Filme 5254,Crime,Todd Field,0,1940,8.8,China
Filme 1729,Documentário,Sam Mendes,16,2005,5.3,Austrália
Filme 4126,Crime,Beto Brant,14,1987,9.6,Itália
Filme 3341,Terror,Matt Bettinelli-Olpin,0,1953,8.2,Brasil
Filme 3367,Guerra,Lee Unkrich,12,2018,7.0,Japão
Filme 333,Drama,Jim Jarmusch,12,2016,7.4,Índia
Filme 3358,Biografia,Lee Unkrich,12,1931,9.5,Nova Zelândia
Filme 3979,Sátira,Nicolas Winding Refn,14,1927,5.7,Noruega
Filme 3626,Histórico,Daniel Filho,16,1979,6.7,Itália
Filme 1259,Romance,Blake Edwards,16,1984,6.6,Noruega
Filme 4218,Guerra,Anselmo Duarte,4,1972,8.0,Nova Zelândia
Filme 1452,Aventura,Charlie Chaplin,12,1927,8.6,México
Filme 5027,Ficção Científica,Thea Sharrock,18,1976,9.5,Japão
Filme 1117,Fantasia,Roberto Santucci,12,1933,6.8,Dinamarca
Filme 1542,Ficção Científica,Robert Eggers,16,2003,9.0,Estados Unidos
Filme 3741,Fantasia,Vinicius Amorim,16,2021,6.0,Brasil
Filme 4296,Faroeste,Sylvester Stallone,14,1963,7.4,Suécia
Filme 2973,Ação,Guy Ritchie,10,1987,5.7,Índia
Filme 4841,Animação,Richard Marquand,0,1997,5.6,Brasil
Filme 3863,Animação,Luiz Fernando Carvalho,14,2025,7.6,Reino Unido
Filme 4374,Animação,M. Night Shyamalan,0,1956,9.5,China
Filme 2953,Fantasia,Kate Herron,10,2017,4.7,Índia
Filme 446,Musical,Taika Waititi,10,1996,8.0,Itália
Filme 2659,Terror,James Mangold,12,2016,8.1,Noruega
Filme 3078,Romance,James Marsh,0,2001,5.5,Nova Zelândia
Filme 2634,Aventura,Roberto Benigni,0,2010,6.7,China
Filme 1414,Ficção Científica,F.W. Murnau,16,1994,9.8,China
